"ID","deployment_date","deployment_datetime","Longitude","Latitude","proxy_site","start_date","end_date","NO2.offset","NO2.gain.Ox","NO2.gain.O3"
"AQY BB-607","2019-12-05","2019-12-05 12:30:00",-122.418807,37.962284,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-608","2020-09-17","2020-09-17 10:30:00",-122.346801,37.952227,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-609","2019-12-18","2019-12-18 11:00:00",-122.316503,37.93897,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-610","2020-03-13","2020-03-13 16:00:00",-122.336573,37.951862,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-611","2019-12-05","2019-12-05 09:30:00",-122.367769,37.938903,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2019-01-01 00:00:00","2020-07-03 14:00:00",0,1,1
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-03 15:00:00","2020-07-07 18:00:00",4.56682138448214,0.43970305469944,0.43970305469944
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-07 19:00:00","2020-07-11 22:00:00",3.84594446713216,0.458074322910564,0.458074322910564
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-11 23:00:00","2020-07-16 02:00:00",3.41214479731108,0.437317917548738,0.437317917548738
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-16 03:00:00","2020-07-20 06:00:00",2.61973906728729,0.42216282856711,0.42216282856711
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-20 07:00:00","2020-08-13 15:00:00",2.09954141992916,0.461455913782026,0.461455913782026
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-13 16:00:00","2020-08-31 19:00:00",0.450679382470245,0.64088305840098,0.64088305840098
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-31 20:00:00","2020-09-04 23:00:00",-0.687611730251054,0.571567094681606,0.571567094681606
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-05 00:00:00","2020-09-17 11:00:00",-0.477032129616445,0.633717210293547,0.633717210293547
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-17 12:00:00","2020-09-21 15:00:00",-0.786899259199955,0.670088693933366,0.670088693933366
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-21 16:00:00","2020-09-25 19:00:00",-0.403688162808062,0.695280122216851,0.695280122216851
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-25 20:00:00","2020-09-29 23:00:00",-0.0234473322562003,0.697416417713855,0.697416417713855
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-30 00:00:00","2020-10-04 03:00:00",0.281108564763421,0.734943696049356,0.734943696049356
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-04 04:00:00","2020-10-08 07:00:00",0.194264983881137,0.768515769559313,0.768515769559313
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-08 08:00:00","2020-10-16 15:00:00",0.930480933306558,0.830700903521037,0.830700903521037
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-16 16:00:00","2020-10-20 19:00:00",1.42181616592229,0.767022927955413,0.767022927955413
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-20 20:00:00","2199-12-31 23:59:59",1.49789468616407,0.751443640205563,0.751443640205563
"AQY BB-634","2019-12-06","2019-12-06 13:00:00",-122.362565,37.923745,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-635","2019-12-09","2019-12-09 18:30:00",-122.356061,37.958616,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-636","2019-12-05","2019-12-05 11:30:00",-122.386987,37.927338,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-637","2019-12-09","2019-12-09 11:30:00",-122.3381,37.939946,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-638","2019-12-21","2019-12-21 14:40:00",-122.362551,37.953197,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-639","2019-12-19","2019-12-19 11:00:00",-122.388734,37.925888,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-640","2019-12-05","2019-12-05 10:30:00",-122.362237,37.958527,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-641","2019-12-06","2019-12-06 14:00:00",-122.340619,37.913046,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2019-01-01 00:00:00","2020-07-03 14:00:00",0,1,1
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-03 15:00:00","2020-07-07 18:00:00",-0.922333717633304,0.461798638926359,0.461798638926359
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-07 19:00:00","2020-07-11 22:00:00",-1.17339381170672,0.497116015959838,0.497116015959838
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-11 23:00:00","2020-07-16 02:00:00",-1.00788659582216,0.486460520709774,0.486460520709774
